source_id,text
s001,მოსწავლე ყოველ დილით ახალ წიგნს კითხულობს.
s002,მასწავლებელმა რთული წესი მარტივი მაგალითით ახსნა.
s003,როცა გაკვეთილი დასრულდა, ბავშვები ბიბლიოთეკაში წავიდნენ.
s004,ქართული ანბანი ოცდაცამეტი ასოსგან შედგება.
s005,ჩვენ ხვალ ძველ თბილისს მეგობრებთან ერთად მოვინახულებთ.
s006,მიუხედავად წვიმისა, მოგზაურობა მაინც გავაგრძელეთ.
s007,რა თქმა უნდა, ამ საკითხს კიდევ ერთხელ განვიხილავთ.
s008,ალბათ, საღამოს თეატრში ახალი სპექტაკლი იქნება.
s009,რამდენიმე მოსწავლემ საინტერესო შეკითხვა დასვა.
s010,ერთ-ერთი მოთხრობა განსაკუთრებით დამამახსოვრდა.
s011,მე ამ მნიშვნელოვან განსხვავებას აუცილებლად აღვნიშნავ.
s012,ხვალ მეგობარს ვნახავ და წიგნს დავუბრუნებ.
s013,დავალებას ყურადღებით წავიკითხავ და პასუხს დავწერ.
s014,ნუ იჩქარებ, ჯერ წინადადების აზრი გაიგე.
s015,ამ სიტყვას სწორად ვერ წარმოთქვამ, თუ მარცვლებს არ დააკვირდები.
s016,ის გაკვეთილს არ აცდენს და დავალებას დროულად ასრულებს.
s017,სამი წიგნი მაგიდაზე მოწესრიგებულად ეწყო.
s018,კაცმა წერილი დაწერა და მეგობარს გაუგზავნა.
s019,ბავშვს ქართული ზღაპრების მოსმენა ძალიან უყვარს.
s020,ჩვენი სკოლის ბიბლიოთეკაში ბევრი საინტერესო წიგნია.
s021,მისი რვეული მაგიდაზე იდო, თავისი წიგნი კი ჩანთაში ჰქონდა.
s022,სახლიდან უნივერსიტეტამდე ფეხით ოცი წუთი მჭირდება.
s023,გაკვეთილის შემდეგ მოსწავლეები მასწავლებელს ესაუბრნენ.
s024,კარგ წიგნს მკითხველი ყოველთვის ინტერესით უბრუნდება.
s025,ნელ-ნელა ცაზე ღრუბლები გაიფანტა.
s026,მასწავლებელმა თქვა: „ტექსტი ყურადღებით წაიკითხეთ“.
s027,გამარჯობა, როგორ ხარ?
s028,დღეს წავიკითხეთ ლექსი, მოთხრობა და მცირე ესე.
s029,თუ სიტყვა უცნობია, მისი მნიშვნელობა ლექსიკონში მოძებნე.
s030,ქართული ენის შესწავლა ყოველდღიურ პრაქტიკას მოითხოვს.
s031,ვაჟა-ფშაველას ნაწარმოებებში ბუნებას განსაკუთრებული მნიშვნელობა აქვს.
s032,ილიას ტექსტის განხილვისას ისტორიული გარემოც უნდა გავითვალისწინოთ.
s033,ლექსის რიტმი და მხატვრული სახეები სათქმელს აძლიერებს.
s034,მოთხრობის პერსონაჟის საქციელი ტექსტის მიხედვით უნდა შევაფასოთ.
s035,მოკლე პასუხიც შეიძლება ზუსტი და დასაბუთებული იყოს.
s036,სიტყვის ფუძეს ბრუნვის ნიშანი შესაბამისი წესით ერთვის.
s037,წიგნები თაროზე დავალაგეთ, რვეულები კი უჯრაში შევინახეთ.
s038,მეგობრები ქალაქიდან დილით ადრე დაბრუნდნენ.
s039,ბავშვები სკოლასთან მშობლებს ელოდებოდნენ.
s040,ეს საჩუქარი ჩემი საუკეთესო მეგობრისთვის შევარჩიე.
s041,მე წერილს ვწერ, ჩემი და კი ნახატს ხატავს.
s042,გწერ, რადგან შენი აზრი მაინტერესებს.
s043,მან ამბავი მშვიდად და გასაგებად მოყვა.
s044,ჩვენ ამ თემაზე გუშინ დიდხანს ვისაუბრეთ.
s045,ისინი მომავალ კვირას გამოცდისთვის მოემზადებიან.
s046,სწორი სასვენი ნიშანი წინადადების აზრს უფრო ნათელს ხდის.
s047,ტექსტის რედაქტირებისას თითოეული სიტყვა ყურადღებით შეამოწმე.
s048,უცხო სიტყვის ქართული განმარტება ახალ მასალას ამარტივებს.
s049,კითხვის დასმა სწავლის პროცესის ბუნებრივი ნაწილია.
s050,კარგი პასუხი წყაროს, მაგალითსა და მკაფიო ახსნას ეყრდნობა.
s051,დილით მზე ამოვიდა, მაგრამ ჰაერი მაინც გრილი იყო.
s052,მდინარის პირას მაღალი ხეები და პატარა ბილიკი ჩანდა.
s053,ბებია ბავშვებს ძველ ქართულ ზღაპარს უკითხავდა.
s054,პოეტმა სათქმელი შედარებისა და მეტაფორის საშუალებით გამოხატა.
s055,ნაწარმოების სათაური ხშირად მთავარ თემაზე მიგვანიშნებს.
s056,ავტორისა და მთხრობლის ერთმანეთთან გაიგივება ყოველთვის სწორი არ არის.
s057,პერსონაჟის დახასიათება მის სიტყვებსა და მოქმედებებს უნდა დაეფუძნოს.
s058,ახალი სიტყვა წინადადებაში გამოიყენე, რომ უკეთ დაიმახსოვრო.
s059,ყოველდღე ათი წუთის კითხვა ენის ცოდნას თანდათან აუმჯობესებს.
s060,შეცდომის გასწორებას ყოველთვის მოკლე და გასაგები ახსნა უნდა ახლდეს.

